token	token_ids	count
commonly	4141	6
communal	15029	2
communicate	10639	2
communicated	24162	2
communication	4807	7
communications	4806	6
communion	15661	2
communities	4279	7
community	2451	36
commuter	14334	1
compact	9233	2
companies	3316	17
companion	7452	3
companions	11946	4
company	2194	136
comparable	12435	2
comparatively	20172	1
compared	4102	18
comparing	13599	2
comparison	7831	7
comparisons	18539	1
compartment	15273	2
compartments	27998	2
compass	16681	2
compassion	15398	2
compelled	15055	4
compelling	17075	2
compensate	19079	2
compensated	29258	1
compensation	9430	1
compete	5566	5
competed	3879	10
competent	17824	1
competing	6637	3
competition	2971	14
competitions	6479	2
competitive	6975	7
competitor	12692	7
competitors	10159	3
compilation	6268	3
compilations	22754	1
compiled	9227	2
compiling	21953	2
complained	10865	3
complaints	10821	1
complete	3143	34
completed	2949	31
completely	3294	19
completing	7678	3
completion	6503	4
complex	3375	41
complexity	11619	1
compliance	12646	1
compliant	24577	1
complicated	8552	8
complications	12763	2
compliment	19394	1
component	6922	6
components	6177	2
compose	17202	1
composed	3605	29
composer	4543	2
composite	12490	2
composition	5512	1
compositions	9265	2
composure	23619	1
compound	7328	24
comprehensive	7721	4
compressed	16620	1
compression	13379	3
comprise	15821	1
comprised	11539	3
comprises	8681	3
comprising	9605	1
compromise	12014	6
computer	3274	6
computers	7588	1
conceal	19819	1
concealed	14091	1
conceded	15848	3
conceived	10141	3
concentrate	10152	2
concentrated	8279	7
concentrating	16966	2
concentration	6693	3
concentrations	14061	1
concept	4145	12
conceptual	17158	1
concern	5142	10
concerned	4986	6
concerning	7175	2
concerns	5936	6
concert	4164	3
concerts	6759	5
concession	16427	1
concessions	20638	1
conclude	16519	2
concluded	5531	10
concludes	14730	8
concluding	16228	3
conclusion	7091	10
concrete	5509	4
concurrency	24154	1
concurrent	16483	1
concussion	23159	2
condemnation	26248	1
condemned	10033	4
condemning	28525	1
condensed	25011	2
condition	4650	13
conditioned	22442	1
conditioning	14372	1
conditions	3785	27
conduct	6204	9
conducted	4146	10
conducting	9283	4
conducts	17976	1
cone	13171	1
confederate	8055	7
confessed	14312	1
confesses	22826	1
confession	12633	1
confessions	21444	1
confidence	7023	3
confident	9657	3
confined	12302	3
confines	25722	1
confirmed	4484	14
confiscated	17182	3
conflict	4736	19
conflicts	9755	4
confluence	13693	3
confront	14323	3
confrontation	13111	2
confronted	12892	2
confronting	26964	3
confronts	17628	3
confused	5457	3
confusing	16801	1
confusion	6724	2
congestion	20176	1
congregation	7769	16
congregational	20809	1
congressional	7740	1
conical	24750	2
conjunction	9595	4
connect	7532	5
connected	4198	12
connecting	7176	6
connection	4434	5
connections	7264	5
connector	19400	3
connects	8539	1
conquer	16152	2
conquered	11438	3
conquest	9187	1
conscious	9715	1
consciously	24447	1
consciousness	8298	2
conscription	26329	2
consecrated	12299	1
consecration	24730	1
consecutive	5486	22
consensus	10465	4
consent	9619	2
consequence	9509	4
consequently	8821	9
conservative	4603	6
conservatives	11992	3
conserved	19995	1
consider	5136	5
considerable	6196	16
considerably	9839	3
consideration	9584	3
considerations	16852	2
considered	2641	79
considering	6195	10
considers	10592	4
consist	8676	3
consisted	5031	16
consistent	8335	5
consistently	10862	5
consisting	5398	9
consists	3774	5
consolidate	24939	1
consolidated	10495	2
consolidation	17439	1
conspicuous	19194	1
conspiracy	9714	18
constant	5377	14
constantly	7887	9
constituencies	13315	1
constituency	5540	2
constituent	13794	1
constituted	11846	3
constitution	4552	6
constitutional	6543	1
constraint	27142	1
constraints	14679	6
construct	9570	5
constructed	3833	21
construction	2810	42
consul	11801	10
consular	27326	1
consultant	8930	1
consultants	22283	1
consulted	17535	2
consume	16678	2
consumed	10202	4
consumers	10390	1
consuming	15077	3
consumption	8381	1
contact	3967	11
contacted	11925	4
contacts	10402	1
contain	5383	11
contained	4838	10
containing	4820	8
contains	3397	14
contaminated	19450	2
contemporaries	16682	2
contemporary	3824	28
contend	27481	2
contender	20127	2
contenders	27236	2
content	4180	7
contention	18974	3
contentious	29308	2
contest	5049	2
contested	7259	4
contests	15795	1
context	6123	13
contexts	18046	2
continent	9983	7
continual	27222	1
continually	14678	4
continuation	13633	2
continue	3613	20
continued	2506	83
continues	4247	12
continuing	5719	14
continuity	13717	1
continuous	7142	5
continuously	10843	6
contract	3206	32
contracted	11016	4
contracting	21012	1
contraction	21963	2
contracts	8311	2
contractual	27948	2
contradiction	26917	2
contrary	10043	4
contrast	5688	18
contrasting	22133	2
contrasts	23347	3
contribute	9002	4
contributed	5201	5
contributes	16605	1
contributing	8020	1
contribution	6691	7
contributions	5857	4
contributor	12130	2
contributors	16884	1
control	2491	38
controlled	4758	11
controller	11486	1
controlling	9756	5
controls	7711	10
controversial	6801	3
controversy	6704	5
convection	23849	25
convened	19596	1
convenience	15106	3
convention	4680	2
conventional	7511	10
conversation	4512	4
conversations	11450	1
converse	23705	1
conversion	7584	8
conversions	25834	2
convert	10463	1
converted	4991	20
converting	16401	1
convey	16636	3
conveyed	21527	2
convicted	7979	6
conviction	10652	1
convictions	20488	1
convince	8054	5
convinced	6427	9
convinces	19480	5
convincing	13359	1
convoy	9549	3
convoys	23083	2
cook	5660	2
cool	4658	5
cooler	14976	2
cooling	11520	4
cooperate	17654	1
cooperation	6792	2
coordinated	14206	2
coordinating	19795	3
coordinator	10669	2
cope	11997	8
copied	15826	1
copies	4809	18
coping	27520	1
copper	6967	2
copy	6100	2
copyright	9385	6
cord	11601	2
cords	24551	6
core	4563	5
cork	8513	1
cornered	25878	1
corporate	5971	3
corporations	11578	1
corpses	18113	1
correct	6149	1
corrected	13371	1
correctional	20873	2
correctly	11178	2
correlated	23900	1
correspond	17254	3
correspondence	11061	2
corresponding	7978	6
corresponds	14788	1
corridor	7120	2
corrupt	13593	1
corruption	7897	1
corvette	22687	1
cost	3465	14
costing	22173	2
costs	5366	6
costume	9427	5
costumes	12703	1
cottage	9151	2
couch	6411	1
could	2071	144
councillors	13189	3
counsel	9517	1
count	4175	5
counted	8897	2
counter	4675	6
counterattack	27835	4
countered	17970	1
counterpart	13637	2
counterparts	14562	3
counties	5721	3
counting	10320	1
countries	3032	16
country	2406	60
county	2221	42
coup	8648	1
couple	3232	14
coupled	11211	5
couples	6062	2
courage	8424	1
courier	18092	4
course	2607	20
courses	5352	2
court	2457	36
courts	5434	2
courtship	28592	2
courtyard	10119	2
cover	3104	25
covered	3139	23
covering	5266	13
covers	4472	18
covert	19813	1
coveted	28821	1
crab	18081	2
cracking	15729	1
craft	7477	7
crane	11308	3
cranes	27083	1
crash	5823	5
crashed	8007	5
crater	11351	28
craters	27561	8
crates	27619	2
craved	25155	1
crawling	15927	1
create	3443	20
created	2580	28
creates	9005	1
creating	4526	14
creation	4325	3
creative	5541	6
creator	8543	3
creature	6492	1
creatures	7329	3
credentials	22496	1
credibility	21553	1
credible	23411	1
credit	4923	5
credited	5827	5
credits	6495	3
creed	16438	1
creek	3636	8
cremated	28376	1
crest	11146	2
cretaceous	18122	3
crew	3626	24
crews	10604	10
cried	6639	1
crime	4126	7
crimes	6997	2
criminal	4735	1
crippled	24433	4
crises	25332	1
crisis	5325	12
crisp	15594	1
criteria	9181	3
critic	6232	15
critical	4187	21
critically	11321	2
criticised	10648	2
criticism	6256	7
criticized	6367	13
critics	4401	35
critique	16218	1
crocodile	21843	1
crop	10416	9
crops	8765	6
crossed	4625	27
crosses	7821	6
crossing	5153	22
crossings	20975	3
crowd	4306	11
crowded	10789	1
crowds	12783	4
crowned	10249	2
crowns	24364	1
crucial	10232	2
crude	13587	4
cruelty	18186	2
cruise	8592	4
cruiser	10844	9
cruisers	16722	14
cruising	22206	3
crusader	25237	1
crush	10188	1
crushed	10560	2
crushing	14527	2
crying	6933	4
crystals	14438	1
cu	12731	1
cuban	9642	1
cubic	11919	1
cue	16091	3
culminated	16943	5
culminating	16979	1
cult	8754	1
cultivated	13237	1
cultivation	13142	1
cultural	3451	11
culturally	20547	1
culture	3226	12
cumulative	23260	1
cupboard	25337	1
curator	13023	1
curious	8025	1
currency	9598	2
current	2783	13
currently	2747	29
currents	14731	4
curtain	11002	6
curtains	14694	3
curvature	25045	2
curve	7774	4
curved	9203	4
curves	10543	2
curving	21439	2
cushions	27205	1
custody	9968	1
custom	7661	1
customer	8013	1
customers	6304	2
cut	3013	31
cute	10140	1
cuts	7659	3
cutter	16343	1
cutting	6276	4
cycle	5402	5
cycles	12709	1
cyclone	11609	56
cyclones	26069	29
cylinder	7956	1
cylinders	18729	2
cynical	26881	3
d	1040	21
daddy	8600	1
daily	3679	12
dairy	11825	2
dam	5477	6
damage	4053	82
damaged	5591	42
damaging	15011	6
damn	4365	1
damned	9636	1
damp	10620	1
dams	17278	1
dance	3153	2
dancing	5613	3
danger	5473	2
dangerous	4795	2
dangerously	20754	1
dangling	18737	1
danish	5695	1
dared	15048	4
daring	15236	2
dark	2601	22
darker	9904	2
darkest	23036	1
darkness	4768	12
dash	11454	2
data	2951	3
date	3058	31
dated	6052	14
dates	5246	4
dating	5306	7
daughter	2684	24
daughters	5727	1
dawn	6440	6
day	2154	171
daylight	11695	10
days	2420	69
dazzling	28190	1
dead	2757	44
deadline	15117	2
deadly	9252	3
deal	3066	21
dealing	7149	3
dealings	24069	1
deals	9144	4
dealt	9411	3
death	2331	82
deaths	6677	18
debate	5981	10
debated	15268	1
debates	14379	1
debris	11385	2
debt	7016	2
debts	13930	3
debut	2834	28
debuted	6006	14
debuting	24469	4
debuts	26740	2
decade	5476	8
decades	5109	13
decay	13121	1
deceased	10181	7
deception	17575	2
decide	5630	2
decided	2787	43
decides	7288	1
deciding	10561	2
decision	3247	31
decisions	6567	5
decisive	13079	5
deck	5877	27
decker	20946	1
decks	19963	2
declaration	8170	2
declare	13520	2
declared	4161	22
declares	18806	2
decline	6689	6
declined	6430	6
declining	13993	2
decorated	7429	17
decoration	11446	3
decrease	9885	1
decreased	10548	4
decreases	17913	1
decreasing	16922	1
decrees	28966	1
dedicated	4056	8
dedication	12276	2
deeds	15616	4
deemed	8357	8
deep	2784	35
deeper	6748	1
deepest	17578	1
deeply	6171	4
deer	8448	1
defeat	4154	24
defeated	3249	33
defeating	6324	6
defeats	14222	1
defences	16828	10
defend	6985	14
defended	8047	7
defender	8291	1
defenders	12534	4
defending	6984	7
defense	3639	23
defenses	13345	2
defensive	5600	16
defiance	19674	1
deficit	15074	2
define	9375	5
defined	4225	15
defines	11859	3
defining	12854	2
definite	15298	1
definitely	5791	1
definition	6210	2
definitive	15764	1
defunct	11984	4
degradation	16627	1
degree	3014	14
degrees	5445	14
dei	14866	1
delay	8536	3
delayed	8394	7
delaying	29391	3
delays	14350	4
delegate	11849	2
delegation	10656	6
deleted	17159	1
deliberate	15063	4
deliberately	9969	7
delicate	10059	2
delightful	26380	1
deliver	8116	6
delivered	5359	21
delivering	12771	8
delivers	18058	1
delivery	6959	3
deluxe	15203	1
demand	5157	4
demanded	6303	7
demanding	9694	2
demands	7670	10
demeanor	21745	1
demise	13614	2
demo	9703	2
demographic	15982	1
demolished	7002	5
demolition	12451	2
demonstrate	10580	3
demonstrated	7645	6
demonstration	10467	1
demonstrators	28337	2
demoted	25692	1
denial	14920	2
denied	6380	5
denies	23439	2
denominations	17384	3
denote	19090	2
denounced	17787	2
dense	9742	14
densely	19441	4
density	4304	5
deny	9772	3
denying	16039	1
depart	18280	4
departed	7745	12
departments	7640	5
departure	6712	6
depended	17292	1
dependent	7790	1
depending	5834	3
depict	17120	5
depicted	8212	9
depicting	10775	4
depiction	15921	6
depictions	20818	2
depicts	11230	6
depleted	22595	2
deploy	21296	2
deployed	7333	22
deployment	10813	4
deposed	18298	2
deposit	12816	1
deposited	14140	2
deposition	19806	2
deposits	10042	6
depot	8470	3
depressed	14777	1
depression	6245	78
deprived	17676	1
depth	5995	6
depths	11143	1
deputy	4112	3
der	4315	5
derivation	29280	1
derivative	13819	1
derivatives	16942	4
derived	5173	11
descend	18855	8
descendant	12608	2
descendants	8481	8
descended	9287	2
descending	15127	3
descends	23328	10
descent	6934	2
describe	6235	7
described	2649	66
describes	5577	11
describing	7851	8
description	6412	2
descriptions	13271	4
deserted	12768	1
deserve	10107	1
design	2640	79
designate	24414	3
designated	4351	21
designation	8259	5
designations	26672	1
designed	2881	52
designer	5859	5
designers	11216	2
designing	12697	1
designs	5617	16
desire	4792	10
desired	9059	4
desires	14714	4
desk	4624	2
desperate	7143	2
desperately	9652	1
desperation	15561	1
despite	2750	61
destination	7688	6
destinations	14345	5
destined	16036	2
destroy	6033	7
destroyed	3908	60
destroyer	9799	3
destroyers	13242	3
destroying	9846	6
destruction	6215	13
detached	12230	1
detachment	11009	3
detail	6987	18
detailed	6851	5
detailing	17555	1
details	4751	12
detect	11487	4
detected	11156	2
detecting	25952	1
detection	10788	1
detective	6317	4
detector	19034	1
deter	28283	1
deteriorated	20111	4
deteriorating	28440	3
determination	9128	2
determine	5646	8
determined	4340	15
determines	16463	1
determining	12515	1
detonated	28110	1
devastated	13879	4
devastation	25594	5
develop	4503	17
developed	2764	66
developing	4975	18
development	2458	62
developmental	13908	4
developments	8973	5
develops	11791	2
device	5080	4
devised	14917	4
devoted	7422	3
devotees	22707	1
devotion	13347	2
devout	26092	1
diagnosed	11441	1
diagnosis	11616	3
diagonal	19754	1
diagram	16403	1
dialect	9329	1
dialects	11976	1
dialogue	7982	3
diameter	6705	5
diamond	6323	2
diary	9708	8
dictator	21237	2
did	2106	129
die	3280	8
died	2351	57
dies	8289	3
diesel	7937	2
diet	8738	4
dietary	23444	1
differ	11234	2
differed	19541	4
difference	4489	6
differences	5966	9
different	2367	48
differentiate	21032	1
differently	11543	2
differs	12980	1
difficult	3697	29
difficulties	8190	5
difficulty	7669	9
diffusion	19241	2
dig	10667	1
digit	15340	3
digital	3617	7
digitally	18397	4
digits	16648	1
dim	11737	1
dimensional	8789	3
dimensions	9646	3
diminished	15911	3
dining	7759	1
dinner	4596	3
dinners	29236	1
dion	19542	2
dioxide	14384	3
diplomacy	17610	1
diplomat	11125	2
diplomatic	8041	6
diplomats	23473	6
dipped	13537	3
direct	3622	36
directed	2856	33
directing	9855	3
direction	3257	28
directions	7826	1
directly	3495	15
directors	5501	10
directs	23303	1
disabled	9776	6
disadvantage	20502	2
disagree	21090	4
disagreed	18335	1
disagreement	18185	2
disagreements	23145	1
disappear	10436	1
disappeared	5419	6
disappears	17144	2
disappointed	9364	5
disappointing	15640	1
disapproval	21406	1
disaster	7071	4
disastrous	16775	2
disbanded	8532	3
disc	5860	12
discarded	15105	1
discharge	11889	1
discipline	9009	2
disciplined	28675	1
disciplines	12736	1
disclosed	21362	2
discomfort	17964	1
discontent	27648	1
discontinued	8944	4
discount	19575	2
discourage	28085	1
discourse	15152	1
discover	7523	3
discovered	3603	39
discovering	13648	2
discovers	9418	1
discovery	5456	13
discrimination	9147	1
discs	15303	2
discuss	6848	5
discussed	6936	6
discusses	15841	2
discussing	10537	2
discussion	6594	7
discussions	10287	2
disdain	25134	1
disease	4295	3
disguise	14249	1
disgust	12721	2
disk	9785	2
disks	23999	1
disliked	18966	1
dismantled	17293	2
dismiss	19776	1
dismissed	7219	5
dismounted	29580	1
disorder	8761	1
dispatch	18365	2
dispatched	14501	8
dispersal	27602	3
disperse	28736	1
dispersed	15484	8
displaced	12936	9
displacement	13508	4
display	4653	17
displayed	6913	5
displaying	14962	3
displays	8834	3
displeasure	28606	1
disposal	13148	1
dispute	7593	1
disputed	11621	1
disqualification	27782	6
disqualified	14209	1
disrupt	23217	2
disrupted	20275	3
disruption	20461	1
dissatisfaction	28237	1
dissatisfied	25956	3
dissipated	22572	12
dissolved	8314	2
distance	3292	17
distances	12103	4
distant	6802	3
distinct	5664	16
distinction	7835	4
distinctions	25995	1
distinctive	8200	6
distinctly	19517	1
distinguish	10782	5
distinguished	5182	6
distinguishes	27343	1
distinguishing	20852	4
distraction	14836	2
distraught	25348	1
distributed	5500	2
distribution	4353	3
distributor	16632	2
district	2212	41
districts	4733	10
disturbance	16915	11
disturbances	24535	3
disturbed	12491	9
disturbing	14888	2
dive	11529	4
diverse	7578	4
diversity	8906	3
divert	27345	2
diverted	18356	2
divided	4055	16
dividing	16023	1
divine	7746	1
divisions	5908	16
divorce	8179	4
divorced	9196	2
dna	6064	3
do	2079	54
dock	8946	1
docked	25727	1
docks	15093	4
dockyard	24874	2
doctor	3460	70
doctors	7435	6
doctrine	8998	2
doctrines	23252	1
document	6254	2
documentary	4516	1
documented	8832	1
documenting	23138	1
documents	5491	2
dodged	28339	1
does	2515	31
doesn	2987	4
dogs	6077	1
doing	2725	14
dollar	7922	3
dollars	6363	3
domain	5884	2
domestic	4968	6
domestically	27143	1
dominance	13811	3
dominant	7444	5
dominate	16083	3
dominated	6817	7
dominates	29532	1
dominating	21949	2
dominic	11282	4
donated	6955	6
donation	13445	1
done	2589	13
dong	11947	3
doom	12677	1
door	2341	3
doors	4303	1
doping	23799	3
dos	9998	2
dots	14981	2
double	3313	20
doubled	11515	1
doubles	7695	1
doubt	4797	4
doubted	12979	1
doubts	13579	2
down	2091	119
downed	20164	1
download	8816	6
downloads	22956	1
downstream	13248	2
downtown	5116	5
downward	14047	3
downwards	28457	1
dozen	6474	2
dozens	9877	2
draft	4433	17
drafted	7462	5
drafting	21168	1
drafts	28967	4
drag	8011	2
dragged	7944	1
dragon	5202	1
drain	12475	2
drainage	11987	1
drains	18916	1
drama	3689	6
dramatic	6918	7
dramatically	12099	2
draped	15098	1
drastically	21040	2
draught	25349	3
drawing	5059	2
drawings	9254	1
drawn	4567	13
draws	9891	1
dreadful	21794	1
dreaming	12802	2
dreams	5544	3
dressed	5102	4
dresser	16641	1
dressing	11225	1
drew	3881	13
drifted	10070	1
drifting	15013	2
drills	28308	1
drink	4392	2
drinking	5948	4
drinks	8974	1
drip	27304	3
drive	3298	11
driven	5533	8
driver	4062	3
drives	9297	4
driveway	11202	1
driving	4439	6
drop	4530	4
dropped	3333	18
dropping	7510	5
drops	9010	2
drought	14734	3
drove	5225	12
drowned	12805	3
drug	4319	1
drugs	5850	1
drum	6943	7
drummer	7101	8
drums	3846	10
dry	4318	11
drying	17462	2
dual	7037	3
dubbed	9188	5
dubious	22917	2
duct	23245	1
due	2349	106
duet	11979	2
dug	8655	5
dull	10634	1
duly	25073	1
dump	15653	2
dumped	14019	2
dungeon	16633	2
dungeons	20264	1
duration	9367	4
during	2076	341
dusk	18406	1
dust	6497	1
dutch	3803	8
duties	5704	8
duty	4611	1
dvd	4966	11
dwarf	11229	1
dwarfs	28984	1
dwellers	28857	1
dwelling	13160	1
dwellings	16707	1
dying	5996	4
dynamic	8790	2
dynasties	23014	2
dynasty	5321	19
dysfunction	28466	1
e	1041	21
each	2169	126
eagerly	17858	1
eagle	6755	3
eagles	8125	3
ear	4540	27
earlier	3041	37
earliest	5700	18
early	2220	161
earn	7796	3
earned	3687	15
earnest	17300	3
earning	7414	9
earnings	16565	1
ears	5551	13
earthquake	8372	10
earthquakes	17932	7
ease	7496	4
easier	6082	2
easily	4089	7
easing	24070	1
eastern	2789	34
eastward	17318	18
easy	3733	11
eating	5983	2
eats	20323	1
ecclesiastical	12301	4
echoes	17659	2
echoing	17142	1
ecological	12231	2
economic	3171	12
economical	21791	1
economically	15318	2
economics	5543	2
economy	4610	5
ecosystems	20440	2
edge	3341	28
edged	13011	1
edges	7926	2
edit	10086	4
edited	5493	5
editing	9260	5
edition	3179	19
editor	3559	5
editorial	8368	4
editors	10195	2
educational	4547	5
eerie	18823	1
effect	3466	23
effective	4621	12
effectively	6464	6
effectiveness	12353	1
effects	3896	20
efficiency	8122	5
efficient	8114	2
effort	3947	22
efforts	4073	11
egg	8288	1
eggs	6763	9
egyptian	6811	6
eight	2809	53
eighteen	7763	4
eighty	12021	1
either	2593	50
elaborate	9603	2
elaborated	25187	1
elbow	8999	1
elder	6422	10
elderly	9750	1
eldest	7310	1
elected	2700	16
election	2602	13
elections	3864	6
electoral	6092	2
electors	19165	2
electric	3751	8
electricity	6451	1
electron	10496	2
electronic	4816	8
electronics	8139	2
elects	27161	2
element	5783	17
elementary	4732	1
elements	3787	28
elevated	8319	1
elevation	6678	10
eleven	5408	6
eleventh	11911	2
eliminate	11027	2
eliminated	5892	5
eliminating	15349	2
elimination	9614	1
elite	7069	6
elongated	17876	1
else	2842	9
elsewhere	6974	13
elusive	26475	3
email	10373	1
embarked	11299	4
embarrassment	14325	2
embassy	8408	80
embedded	11157	4
emblem	16199	2
embraced	14218	2
emerge	12636	5
emerged	6003	10
emergence	14053	2
emergencies	26360	2
emergency	5057	2
emerges	19391	1
emerging	8361	2
emigrated	11367	1
eminent	14953	1
emissions	11768	1
emitted	22627	1
emotion	7603	3
emotional	6832	5
emotions	6699	3
emperor	3750	63
emphasis	7902	8
emphasize	17902	3
emphasized	13155	3
emphasizing	22671	1
employ	12666	1
employed	4846	8
employees	5126	3
employer	11194	1
employment	6107	4
employs	13495	1
empty	4064	3
en	4372	8
enable	9585	2
enabled	9124	6
enabling	12067	3
enacted	11955	1
enactment	26465	1
enamel	29484	1
encircled	25759	2
enclosed	10837	1
enclosure	17539	1
encompassed	24058	1
encounter	8087	6
encountered	8567	11
encounters	11340	5
encouraged	6628	5
encouragement	15846	1
encourages	16171	1
encouraging	11434	3
end	2203	135
endangered	10193	1
endeavor	23855	1
ended	3092	35
endemic	7320	2
ending	4566	24
endorsed	11763	2
endorsement	20380	1
ends	4515	12
endurance	14280	4
endured	16753	1
enduring	16762	2
enemies	6716	6
enemy	4099	32
energetic	18114	2
energy	2943	14
enforce	16306	1
enforced	16348	1
enforcement	7285	2
engage	8526	6
engaged	5117	13
engagement	8147	12
engagements	20583	5
engaging	11973	3
engine	3194	11
engineer	3992	15
engineering	3330	4
engineers	6145	2
engines	5209	13
engraved	16328	1
engulfed	24692	1
enhance	11598	3
enhanced	9412	6
enhancement	22415	1
enhancing	20226	1
enjoy	5959	2
enjoyable	22249	4
enjoyed	5632	8
enjoying	9107	1
enlarged	11792	5
enlisted	9417	6
enormous	8216	4
enough	2438	29
enraged	18835	2
enrolled	8302	2
enrollment	10316	1
ensemble	7241	2
ensued	18942	1
ensuing	13831	4
ensure	5676	8
ensured	16316	2
ensuring	12725	1
enter	4607	16
entered	3133	24
entering	5738	14
enterprise	6960	2
enters	8039	9
entertainment	4024	10
enthusiasm	12024	1
enthusiastic	14727	2
entire	2972	28
entirely	4498	19
entirety	15700	4
entitled	4709	9
entity	9178	1
entourage	25342	2
entrance	4211	10
entrepreneurs	17633	1
entry	4443	3
enveloped	25407	2
environment	4044	6
environmental	4483	3
environmentally	25262	1
environments	10058	6
envisioned	18035	6
envoy	19918	1
epic	8680	4
episode	2792	59
episodes	4178	8
epithet	19626	1
equal	5020	7
equality	9945	1
equally	8053	5
equator	26640	4
equatorial	21333	3
equestrian	19191	9
equipment	3941	14
equipped	6055	20
equivalent	5662	8
era	3690	63
eras	28500	1
erase	22505	1
erased	23516	3
erected	7019	13
erection	13760	1
eroded	23300	5
erosion	14173	10
erratic	24122	1
error	7561	2
errors	10697	1
erupted	12591	3
escalated	26814	2
escape	4019	11
escaped	6376	10
escaping	13002	2
escort	8620	1
escorted	13127	2
escorting	23831	1
escorts	24877	1
especially	2926	28
espionage	21003	1
essay	9491	3
essays	8927	1
essence	11305	1
essential	6827	6
essentially	7687	5
establish	5323	12
established	2511	47
establishes	21009	1
establishing	7411	4
establishment	5069	11
establishments	17228	1
estates	8707	6
esteem	19593	2
estimate	10197	4
estimated	4358	62
estimates	10035	11
etc	4385	2
etched	20286	1
eternal	10721	3
ethiopian	15101	1
ethnic	5636	5
ethnicity	18240	1
eucalyptus	27111	1
european	2647	14
evacuate	22811	9
evacuated	13377	17
evacuation	13982	35
evade	26399	1
evaluate	16157	1
evaluation	9312	2
evangelical	11295	2
eve	6574	1
even	2130	81
evening	3944	22
evenly	18030	1
event	2724	26
events	2824	32
eventual	9523	5
eventually	2776	32
ever	2412	34
every	2296	33
everybody	7955	4
everyday	10126	3
everyone	3071	4
everything	2673	11
everywhere	7249	1
evidence	3350	12
evidenced	21328	1
evident	10358	5
evil	4763	4
evolution	6622	9
evolutionary	12761	2
evolved	7964	11
evolving	20607	4
ex	4654	3
exact	6635	8
exactly	3599	3
exaggerated	16903	1
exam	11360	3
examination	7749	4
examinations	14912	1
examine	11628	2
examined	8920	1
examining	12843	1
example	2742	32
examples	4973	21
excavated	15199	11
excavation	16456	4
excavations	14018	1
exceeded	14872	3
exceeding	17003	1
exceeds	23651	1
excelled	23081	1
excellence	8012	1
excellent	6581	9
except	3272	18
exception	6453	10
exceptional	11813	2
exceptions	11790	2
excerpts	24962	1
excess	9987	2
excessive	11664	3
exchanged	10573	5
exchanges	15800	1
excited	7568	2
exciting	10990	1
excluding	13343	1
exclusive	7262	2
exclusively	7580	9
excursion	26144	1
excuse	8016	3
execute	15389	3
executed	6472	18
executing	23448	3
execution	7781	8
executions	22679	1
executive	3237	11
executives	12706	4
exempt	11819	1
exercise	6912	4
exercised	17747	3
exercises	11110	6
exhausted	9069	8
exhaustion	15575	1
exhibit	8327	1
exhibited	8176	7
exhibiting	22922	3
exhibition	4538	12
exhibitions	8596	2
exhibits	10637	3
exile	8340	4
exiled	14146	3
exist	4839	7
existed	5839	5
existence	4598	9
existing	4493	15
exists	6526	3
exited	15284	3
exiting	22371	1
exits	16639	1
expand	7818	2
expanded	4423	12
expanding	9186	2
expands	24545	2
expansion	4935	8
expect	5987	5
expectation	17626	1
expectations	10908	1
expected	3517	19
expecting	8074	2
expedition	5590	4
expelled	10016	5
expenditure	20700	1
expenditures	22697	2
expense	10961	3
expenses	11727	1
expensive	6450	4
experience	3325	19
experienced	5281	16
experiences	6322	4
experiment	7551	3
experimental	6388	2
experimented	20918	2
experimenting	23781	2
experiments	7885	2
expert	6739	2
experts	8519	6
expired	13735	2
explain	4863	2
explained	4541	10
explaining	9990	9
explains	7607	3
explanation	7526	2
explicit	13216	4
explicitly	12045	3
exploited	18516	1
exploits	20397	1
exploration	8993	4
explore	8849	1
explored	10641	1
explorer	10566	3
explorers	19264	1
exploring	11131	1
explosion	7738	10
explosions	18217	1
explosive	11355	14
explosives	14792	2
export	9167	1
exports	14338	1
expose	14451	1
exposed	6086	14
exposing	14944	3
exposure	7524	2
express	4671	5
expressed	5228	9
expresses	16783	1
expression	3670	4
expressions	11423	2
expressive	22570	3
extant	12905	3
extend	7949	3
extended	3668	15
extending	8402	5
extends	8908	1
extension	5331	10
extensive	4866	12
extensively	8077	8
extent	6698	6
exterior	8829	2
external	6327	10
externally	27223	1
extinction	14446	2
extra	4469	7
extracted	15901	2
extraction	14676	1
extras	26279	3
extravagant	27856	2
extreme	6034	9
extremely	5186	7
extremes	28800	5
eye	3239	49
eyebrows	8407	1
eyelids	16544	1
eyes	2159	26
face	2227	65
faced	4320	28
faces	5344	4
facial	13268	3
facilitate	10956	1
facilitated	19601	4
facilities	4128	12
facility	4322	5
facing	5307	15
fact	2755	24
faction	10233	1
factor	5387	9
factories	11123	1
factors	5876	4
factory	4713	4
facts	8866	4
faculty	4513	2
fade	12985	1
fail	8246	1
failed	3478	23
failing	7989	4
failure	4945	10
failures	15428	2
fair	4189	1
fairly	7199	3
faith	4752	5
faithful	11633	3
fake	8275	6
fall	2991	12
falling	4634	10
falls	4212	7
false	6270	7
falsely	23123	2
faltered	26015	1
fame	4476	9
famed	15607	1
familiar	5220	7
familiarity	24666	2
families	2945	20
family	2155	64
famine	15625	2
famous	3297	10
famously	18172	2
fan	5470	4
fangs	11738	1
fans	4599	12
fantasies	21233	4
fantastic	10392	2
fantasy	5913	6
far	2521	33
fare	13258	2
farewell	13407	1
farm	3888	6
farmer	7500	2
farmers	6617	2
farmland	16439	1
farms	8623	3
farther	8736	5
